all_names,entity_type,notes
SOUTH TAHOE PUD - MAIN,water_system,
CDCR-HIGH DESERT STATE PRISON,water_system,
WILLOW GROVE UNION ELEMENTARY SCHOOL,water_system,
CSP - TULE ELK,water_system,
MIL POTRERO MWC,water_system,
PRUNEDALE SCHOOL WS,water_system,
LOCKHEED MARTIN SKUNK WORKS,water_system,
HENNINGSEN LOTUS PARK WATER SYSTEM,water_system,
ESTERO MUNICIPAL IMPROVEMENT DISTRICT,water_system,
CENTER OF THE WORLD,water_system,
MID-PENINSULA WATER DISTRICT,water_system,
OILDALE MWC,water_system,
KEELER COMMUNITY SERVICE DISTRICT,water_system,
STALLION SPRINGS CSD,water_system,
OAKHURST MOBILE HOME ESTATES,water_system,
LOS PARIENTES,water_system,
MIDWAY HEIGHTS C. W. D.,water_system,
GLEN MARTIN MWC,water_system,
RIEBLI MUTUAL WATER COMPANY,water_system,
"ST. HELENA, CITY OF",water_system,
BELLFLOWER MUNICIPAL WATER SYSTEM,water_system,
GOLDEN BEAR RV PARK,water_system,
HARTLEY MUTUAL WATER SYSTEM,water_system,
RAWSON CREEK MUTUAL WATER COMPANY,water_system,
CHIRIACO SUMMIT WATER DIST.,water_system,
DEVORE WC,water_system,
"LOS ANGELES, CITY OF - POWER PLANT #2",water_system,
MASSA ESTATE VINEYARDS WS (PREV HELLER),water_system,
EDWARDS AFB - MAIN BASE,water_system,
RIVER'S EDGE MARINA & RESORT,water_system,
SONOMA WINE SHOP,water_system,
LAGUNA VILLAGE RV PARK,water_system,
CORNERSTONE SONOMA,water_system,
MCCABE UNION SCHOOL,water_system,
GRIMMWAY ENTERPRISES-MALAGA WATER SYSTEM,water_system,
COUNTY SERVICE AREA 11,water_system,
"SANTA ROSA, CITY OF",water_system,
LONE PINE MUTUAL WATER COMPANY,water_system,
CANYON RV PARK,water_system,
VALLEY OF THE MOON WATER DISTRICT,water_system,
MICHAEL ELLIS SCHOOL FOR DOG TRAINERS,water_system,
NICK'S COVE,water_system,
ARROWOOD VINEYARDS & WINERY,water_system,
ASTI WINERY,water_system,
VINEHILL VISTAS MUTUAL WATER COMPANY,water_system,
BELLA VINEYARDS AND WINE CAVES,water_system,
TIMBER COVE INN,water_system,
GRAY WATER SYSTEM,water_system,
FIELD STONE WINERY,water_system,
MEADOW VISTA CWD,water_system,
DUNCANS MILLS TRADING COMPANY,water_system,
ABBEY OF NEW CLAIRVAUX,water_system,
VENTURA CWWD NO. 19 - SOMIS,water_system,
FIRST MUTUAL WATER SYSTEM,water_system,
BDVWA - GOAT MOUNTAIN ID,water_system,
SIGNORELLO WINERY,water_system,
PIXLEY PUBLIC UTIL DIST,water_system,
ORANGE BELT CAFE,water_system,
CEDAR CREEK MOBILEHOME PARK,water_system,
