all_names,entity_type,notes
East Bay Municipal Utility District GSA|East Bay Municipal Utility District,gsa,SANTA CLARA VALLEY - EAST BAY PLAIN
East Contra Costa Irrigation District GSA|East Contra Costa Irrigation District,gsa,SAN JOAQUIN VALLEY - EAST CONTRA COSTA
East Kaweah GSA|East Kaweah,gsa,SAN JOAQUIN VALLEY - KAWEAH
East Turlock Subbasin GSA|East Turlock Subbasin,gsa,SAN JOAQUIN VALLEY - TURLOCK
Eastern Tule GSA|Eastern Tule,gsa,SAN JOAQUIN VALLEY - TULE
Eastside San Joaquin GSA|Eastside San Joaquin,gsa,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN
El Dorado County Water Agency GSA|El Dorado County Water Agency,gsa,TAHOE VALLEY - TAHOE SOUTH
El Rico GSA|El Rico,gsa,SAN JOAQUIN VALLEY - TULARE LAKE
Elsinore Valley GSA|Elsinore Valley,gsa,ELSINORE - ELSINORE VALLEY
Enterprise-Anderson GSA|Enterprise-Anderson|Enterprise-Anderson GSA - Anderson|Enterprise-Anderson GSA - Enterprise,gsa,REDDING AREA - ANDERSON; REDDING AREA - ENTERPRISE
Estrella-El Pomar-Creston Water District GSA|Estrella-El Pomar-Creston Water District,gsa,SALINAS VALLEY - PASO ROBLES AREA
Farmers Water District GSA|Farmers Water District,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
Fillmore and Piru Basins GSA|Fillmore and Piru Basins|Fillmore and Piru Basins GSA - Fillmore|Fillmore and Piru Basins GSA - Piru,gsa,SANTA CLARA RIVER VALLEY - FILLMORE; SANTA CLARA RIVER VALLEY - PIRU
Fox Canyon Groundwater Management Agency GSA|Fox Canyon Groundwater Management Agency|Fox Canyon Groundwater Management Agency GSA - Arroyo Santa Rosa|Fox Canyon Groundwater Management Agency GSA - Las Posas Valley|Fox Canyon Groundwater Management Agency GSA - Oxnard|Fox Canyon Groundwater Management Agency GSA - Pleasant Valley,gsa,ARROYO SANTA ROSA VALLEY; LAS POSAS VALLEY; PLEASANT VALLEY; SANTA CLARA RIVER VALLEY - OXNARD
Franklin Drainage District GSA|Franklin Drainage District,gsa,SACRAMENTO VALLEY - SOUTH AMERICAN
Galt Irrigation District GSA|Galt Irrigation District,gsa,SAN JOAQUIN VALLEY - COSUMNES
Glenn Groundwater Authority GSA|Glenn Groundwater Authority,gsa,SACRAMENTO VALLEY - COLUSA
Grasslands GSA|Grasslands,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
Gravelly Ford Water District GSA|Gravelly Ford Water District,gsa,SAN JOAQUIN VALLEY - MADERA
Greater Kaweah GSA|Greater Kaweah,gsa,SAN JOAQUIN VALLEY - KAWEAH
Greenfield County Water District GSA|Greenfield County Water District,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Henry Miller Water District GSA|Henry Miller Water District,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Heritage Ranch Community Services District,gsa,
Imperial Irrigation District GSA|Imperial Irrigation District|Imperial Irrigation District GSA - Amos Valley|Imperial Irrigation District GSA - Coyote Wells Valley|Imperial Irrigation District GSA - East Salton Sea|Imperial Irrigation District GSA - Imperial Valley|Imperial Irrigation District GSA - Ocotillo Wells|Imperial Irrigation District GSA - Ocotillo-Clark Valley|Imperial Irrigation District GSA - Ogilby Valley|Imperial Irrigation District GSA - West Salton Sea,gsa,AMOS VALLEY; BORREGO VALLEY - OCOTILLO WELLS; COYOTE WELLS VALLEY; EAST SALTON SEA; IMPERIAL VALLEY; OCOTILLO-CLARK VALLEY; OGILBY VALLEY; WEST SALTON SEA
Indian Wells Valley Groundwater Authority GSA|Indian Wells Valley Groundwater Authority,gsa,INDIAN WELLS VALLEY
Indio Water Authority GSA|Indio Water Authority|Indio Water Authority GSA - Desert Hot Springs|Indio Water Authority GSA - Indio,gsa,COACHELLA VALLEY - DESERT HOT SPRINGS; COACHELLA VALLEY - INDIO
James GSA|James,gsa,SAN JOAQUIN VALLEY - KINGS
Kern Non-Districted Land Authority GSA|Kern Non-Districted Land Authority,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Kern River GSA|Kern River,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Kern Water Bank GSA|Kern Water Bank,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Kern-Tulare Water District GSA|Kern-Tulare Water District,gsa,SAN JOAQUIN VALLEY - KERN COUNTY; SAN JOAQUIN VALLEY - TULE
Kings River East GSA|Kings River East,gsa,SAN JOAQUIN VALLEY - KINGS
Leona Valley GSA|Leona Valley,gsa,ANTELOPE VALLEY
Linden County Water District GSA|Linden County Water District,gsa,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN
