State,Agency,Abbr
federal,Government_National_Mortgage_Association,Ginnie_Mae
federal,Grain_Inspection_Packers_and_Stockyards_Administration,GIPSA
federal,Health_Resources_and_Services_Administration,HRSA
federal,Immigration_and_Customs_Enforcement,ICE
federal,Bureau_of_Indian_Affairs,BIA
federal,Bureau_of_Indian_Affairs,Indian_Affairs
federal,Federal_Interagency_Committee_on_Indoor_Air_Quality,CIAQ
,Indoor_Air_Quality,IAQ
federal,Interagency_Alternative_Dispute_Resolution_Working_Group,Interagency_ADR_Working_Group
federal,Interagency_Committee_for_the_Management_of_Noxious_and_Exotic_Weeds,FICMNEW
federal,Internal_Revenue_Service,IRS
federal,International_Criminal_Police_Organization,Interpol
federal,International_Criminal_Police_Organization,INTERPOL
federal,International_Criminal_Police_Organization,InterPol
federal,International_Criminal_Police_Organization,National_Central_Bureau_-_Interpol
federal,Japan_-_United_States_Friendship_Commission,JUSFC
federal,John_F_Kennedy_Center_for_the_Performing_Arts,Kennedy_Center
federal,Joint_Congressional_Committee_on_Inaugural_Ceremonies,JCCIC
federal,Joint_Fire_Science_Program,JFSP
federal,Joint_Program_Executive_Office_for_Chemical_and_Biological_Defense,JPEO_-_CBRND
federal,Judicial_Panel_on_Multidistrict_Litigation,JPML
federal,Maritime_Administration,MARAD
federal,Merit_Systems_Protection_Board,MSPB
federal,Military_Academy_West_Point,West_Point
federal,Mine_Safety_and_Health_Administration,MSHA
California,California_Division_of_Occupational_Safety_and_Health,Cal/OSHA
federal,National_Aeronautics_and_Space_Administration,NASA
federal,National_Agricultural_Statistics_Service,NASS
federal,National_Agricultural_Statistics_Service,USDA_NASS
federal,National_Cancer_Institute,NCI
federal,National_Credit_Union_Administration,NCUA
federal,National_Flood_Insurance_Program,NFIP
federal,National_Geospatial_-_Intelligence_Agency,NGIA
federal,National_Health_Information_Center,NHIC
federal,National_Heart_Lung_and_Blood_Institute,NHLBI
federal,National_Highway_Traffic_Safety_Administration,NHTSA
federal,National_Indian_Gaming_Commission,NIGC
federal,National_Institute_of_Deafness_and_Other_Communication_Disorders,NIDCD
federal,National_Institute_of_Diabetes_and_Digestive_and_Kidney_Diseases,NIDDK
federal,National_Institute_of_Food_and_Agriculture,NIFA
federal,National_Institute_of_Justice,NIJ
federal,National_Institute_of_Mental_Health,NIMH
federal,National_Institute_of_Neurological_Disorders_and_Stroke,NINDS
federal,National_Institute_of_Occupational_Safety_and_Health,NIOSH
federal,National_Institute_of_Standards_and_Technology,NIST
federal,National_Institutes_of_Health,NIH
federal,National_Interagency_Fire_Center,NIFC
federal,National_Labor_Relations_Board,NLRB
federal,National_Agricultural_Library,National_Library_of_Agriculture
federal,National_Marine_Fisheries_Service,NMFS
federal,National_Marine_Fisheries_Service,NOAA_Fisheries
federal,National_Nuclear_Security_Administration,NNSA
federal,National_Oceanic_and_Atmospheric_Administration,NOAA
federal,National_Park_Service,NPS
federal,National_Prevention_Information_Network,NPIN
federal,National_Science_Foundation,NSF
federal,National_Security_Agency,NSA
federal,National_Security_Council,NSC
federal,National_Technical_Information_Service,NTIS
federal,National_Telecommunications_and_Information_Administration,NTIA
federal,National_Transportation_Safety_Board,NTSB
federal,National_Weather_Service,NWS
federal,Natural_Resources_Conservation_Service,NRCS
federal,Natural_Resources_Conservation_Service,Soil_Conservation_Service
federal,Natural_Resources_Conservation_Service,USDA_NRCS
federal,Natural_Resources_Conservation_Service,USDA_-_NRCS
federal,National_Marine_Fisheries_Service,NOAA_Fisheries
federal,Northwest_Power_and_Conservation_Council,Northwest_Power_Planning_Council
federal,Nuclear_Regulatory_Commission,USNRC
federal,Nuclear_Waste_Technical_Review_Board,NWTRB
federal,Occupational_Safety_and_Health_Review_Commission,OSHRC
federal,Office_of_Career_Technical_and_Adult_Education,OCTAE
federal,Office_of_Disability_Employment_Policy,ODEP
federal,Office_of_Elementary_and_Secondary_Education,OESE
federal,Office_of_Fair_Housing_and_Equal_Opportunity,FHEO
federal,Office_of_Justice_Programs,OJP
federal,Office_of_Juvenile_Justice_and_Delinquency_Prevention,OJJDP
federal,Office_of_Lead_Hazard_Control_and_Healthy_Homes,OLHCHH
federal,Office_of_Management_and_Budget,OMB
federal,Office_of_Management_and_Budget,Management_and_Budget_Office
federal,Office_of_Manufactured_Housing_Programs,OMHP
federal,Office_of_National_Drug_Control_Policy,ONDCP
federal,Office_of_Natural_Resources_Revenue,ONRR
federal,Office_of_Science_and_Technology_Policy,OSTP
federal,Office_of_Scientific_and_Technical_Information,OSTI
federal,Office_of_Special_Education_and_Rehabilitative_Services,OSERS
federal,Office_of_Surface_Mining_Reclamation_and_Enforcement,OSMRE
federal,Office_of_the_Director_of_National_Intelligence,ODNI
federal,Office_of_the_Director_of_National_Intelligence,Office_of_Director_of_National_Intelligence
federal,Office_on_Violence_Against_Women,OVW
federal,Congressional_Office_for_International_Leadership,Open_World_Leadership_Center
federal,Patent_and_Trademark_Office,USPTO
federal,Pension_Benefit_Guaranty_Corporation,PBGC
federal,Pentagon_Force_Protection_Agency,PFPA
federal,Pipeline_and_Hazardous_Materials_Safety_Administration,PHMSA
federal,Postal_Service,USPS
federal,President's_Council_on_Fitness_Sports_and_Nutrition,PCFSN
federal,Commission_on_Presidential_Scholars,Presidential_Scholars_Commission
