Name of GSA,Single or Multiple?,URL Extension,Joint Powers?,Notes,Source if extra research necessary,
Galt Irrigation District GSA,Single,97,,,,
Omochumne-Hartnell Water District GSA - Cosumnes,Single,155,,,,
Sloughhouse Resource Conservation District GSA - Cosumnes,Single,160,,,,
West Turlock Subbasin GSA,Multiple,225,Y,,,
East Turlock Subbasin GSA,Multiple,238,Y,,,
Omochumne-Hartnell Water District GSA - South American,Single,156,,,,
Reclamation District No. 551 GSA,Single,366,,,,
Sacramento Central Groundwater Authority GSA - 1,Multiple,147,Y,,,
County of Sacramento GSA - South American,Single,295,,,,
Sloughhouse Resource Conservation District GSA - South American 1,Single,153,,,,
Reclamation District No. 1002 GSA - Northern Delta GSA,Single,373,,,,
Reclamation District No. 813 GSA - Northern Delta GSA,Single,377,,,,
Reclamation District No. 744 GSA - Northern Delta GSA,Single,376,,,,
Reclamation District No. 2110 GSA - Northern Delta GSA,Single,364,,,,
Reclamation District No. 369 GSA - Northern Delta GSA,Single,378,,,,
Reclamation District No. 755 GSA - Northern Delta GSA,Single,https://sgma.water.ca.gov/portal/gsa/preview/3601263eb70420865dd5c6f01f2e22b5,,,,
Franklin Drainage District GSA - Northern Delta GSA,Single,387,,,,
County of Sutter GSA - Sutter,Single,218,,,,
Butte Water District GSA - Sutter,Single,119,,,,
City of Live Oak GSA,Single,136,,,,
Sutter Extension Water District GSA,Single,121,,,,
Sutter Community Service District GSA,Single,114,,,,
City of Yuba City GSA,Single,264,,,,
Reclamation District No. 70 GSA,Single,320,,,,
Reclamation District No. 1660 GSA,Single,321,,,,
Reclamation District No. 1500 GSA,Single,239,,,,
Salinas Valley Basin GSA - Langley Area,Multiple,268,Y,,,
Salinas Valley Basin GSA - East Side Aquifer,Multiple,460,Y,,,
Salinas Valley Basin GSA - Upper Valley Aquifer,Multiple,459,Y,,,
Salinas Valley Basin GSA - Forebay Aquifer,Multiple,462,Y,,,
City of Vacaville GSA,Single,272,,,,
Solano Irrigation District GSA,Single,180,,,,
Solano Subbasin GSA,Multiple,340,Y,,,
Reclamation District No. 501 GSA - Northern Delta GSA,Single,384,"Single, but Northern Delta GSA is a JPA",,,
Reclamation District No. 3 GSA,Single,374,,,,
Reclamation District No. 349 GSA,Single,385,,,,
Reclamation District No. 554 GSA,Single,379,,,,
Reclamation District No. 556 GSA,Single,383,,,,
Reclamation District No. 2111 GSA,Single,380,,,,
County of San Luis Obispo GSA - San Luis Obispo Valley,Single,336,,,,
City of San Luis Obispo GSA,Single,329,,,,
Elsinore Valley GSA,Single,21,,,,
City of Antioch GSA,Single,299,,,,
Byron-Bethany Irrigation District GSA - East Contra Costa,Single,463,,,,
City of Brentwood GSA,Single,224,,,,
County of Contra Costa GSA,Single,259,,,,
Diablo Water District GSA,Single,289,,,,
Discovery Bay Community Services District GSA,Single,265,,,,
East Contra Costa Irrigation District GSA,Single,252,,,,
San Gorgonio Pass GSA,Multiple,262,,,,
Verbenia GSA,Multiple,330,,,,
Desert Water Agency GSA - Statutory Area - San Gorgonio Pass,Single,450,,,,
Banta-Carbona Irrigation District GSA,Single,149,,,,
Byron-Bethany Irrigation District GSA - Tracy,Single,286,,,,
City of Lathrop GSA,Single,183,,,,
City of Tracy GSA,Single,157,,,,
County of San Joaquin GSA - Tracy,Single,146,,,,
Stewart Tract GSA,Multiple,343,,,,
White Wolf GSA,Multiple,244,,,,
County of Napa GSA,Single,488,,,,
Sierra Valley Groundwater Management District GSA,Single,227,,,,
County of Plumas GSA,Single,234,,,,
Salinas Valley Basin GSA - Monterey,Multiple,458,Y,,,
