_id,ID,CREATE DATE,Status,Shortage Type,Primary Usages,Household Support,Water Issues,Approximate Issue Start Date,County,CITY,LATITUDE,LONGITUDE,Well Depth,Was Issue Resolved?,Approximate Repair Cost,Additional Info,Well to Water Depth,Measure Date,Pump Rate Reduction,Report Date,StatusType,Region
37,66,07/11/2014,Undefined,Dry well (groundwater),Household,,"
",,Madera,Chowchilla,37.095961,-120.194154,,"
",,null.first noticed water problems this year on June 1st (after returning from Mexico); last year lowered pump from 260 to 315.,,,,2014-07-11T00:00:00,Outage,Inland
38,68,07/14/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",07/12/2014,Madera,Madera,37.000216,-119.890947,,"
",,,,,,2014-07-14T00:00:00,Outage,Inland
39,71,07/14/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Chowchilla,37.081166,-120.200409,,"
",,,,,,2014-07-14T00:00:00,Outage,Inland
40,72,07/14/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Madera Lakes,36.9922634,-120.0561597,,"
",,,,,,2014-07-14T00:00:00,Outage,Inland
41,74,12/11/2014,Outage,Dry well (groundwater),Household,,"Well is dry (no longer producing water)
",10/09/2014,Kings,Riverdale,36.4014834,-119.8091492,,"No, SHE wait list
",,,,,,2014-12-11T00:00:00,Outage,Inland
42,75,12/12/2014,Interim Solution,Dry well (groundwater),Household,,"Well is dry (no longer producing water)
",08/08/2014,Fresno,Fresno,36.657123,-119.75481,,"No, SHE wait list
",,Missing documentation,,,,2016-03-01T00:00:00,Resolved,Inland
43,77,12/12/2014,Outage,Dry well (groundwater),Household,,"Well is dry (no longer producing water)
",08/11/2014,Merced,Winton,37.3777857,-120.600603,,"No, SHE wait list
",,,,,,2014-12-12T00:00:00,Outage,Inland
44,78,12/12/2014,Outage,Dry well (groundwater),Household,,"Well is dry (no longer producing water)
",07/24/2014,Kings,Hanford,36.355235,-119.599993,,"No, SHE wait list
",,,,,,2014-12-12T00:00:00,Outage,Inland
45,81,07/14/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Chowchilla,37.084185,-120.194203,,"
",,,,,,2014-07-14T00:00:00,Outage,Inland
46,82,07/14/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Madera,36.9530079,-120.026132,,"41865.0
",,null.THIS STARTED A MONTH AGO THEY NEED HELP RIGHT AWAY AND FIVE OTHER FAMILIES DO TO.Well has gone dryas of 8/14/14,,,,2014-07-14T00:00:00,Outage,Inland
47,83,07/16/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Madera,36.9673159,-119.890461,,"
",,,,,,2014-07-16T00:00:00,Outage,Inland
48,84,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,38.010014,-120.416308,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
49,85,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.938127,-120.416383,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
50,86,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9503722,-120.4054799,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
51,87,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9310305,-120.4220727,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
52,88,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/24/2014,Tuolumne,SONORA,37.9397735,-120.415357,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
53,89,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9397735,-120.415357,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
54,90,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9504172,-120.4050873,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
55,91,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9504222,-120.4050437,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
56,92,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.938317,-120.414854,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
57,93,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9504321,-120.4049565,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
58,94,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9504471,-120.4048256,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
59,95,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.940495,-120.414999,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
60,96,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.93716,-120.414108,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
61,97,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9504971,-120.4043894,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
62,98,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.95055920000001,-120.4039577,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
63,99,12/03/2014,Outage,"Low creek, stream, spring, or other surface water source",Household,owner-occupied,"Well is dry (no longer producing water)
",11/07/2014,Tuolumne,Chinese Camp,37.84303,-120.408088,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
64,100,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,JAMESTOWN,37.844064,-120.575938,,"No, on drilling wait list
",,,,,,2014-12-02T00:00:00,Outage,Inland
65,101,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,JAMESTOWN,37.8432898,-120.5319611,,"No, on drilling wait list
",,,,,,2014-12-02T00:00:00,Outage,Inland
66,102,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,COLUMBIA,38.0199423,-120.3898098,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
67,103,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/12/2014,Tuolumne,COLUMBIA,38.0413039,-120.379469,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
68,104,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",06/30/2014,Tuolumne,COLUMBIA,38.0460596,-120.3719033,,"Yes, deepened the well
",,,,,,2014-12-03T00:00:00,Resolved,Inland
69,105,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",07/09/2014,Tuolumne,SONORA,38.016856,-120.32689,,"Yes, deepened the well
",,,,,,2014-12-03T00:00:00,Resolved,Inland
70,106,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/05/2014,Tuolumne,SONORA,37.90942,-120.279789,,"Yes, deepened the well
",,,,,,2014-12-03T00:00:00,Resolved,Inland
71,107,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/10/2014,Tuolumne,SONORA,37.9289384,-120.316932,,"Yes, drilled replacement well
",,,,,,2014-12-02T00:00:00,Resolved,Inland
72,108,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/05/2014,Tuolumne,SONORA,37.915326,-120.304396,,"Yes, drilled replacement well
",,,,,,2014-12-02T00:00:00,Resolved,Inland
73,109,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/05/2014,Tuolumne,SONORA,37.924861,-120.299243,,"Yes, drilled replacement well
",,,,,,2014-12-02T00:00:00,Resolved,Inland
74,110,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",06/12/2014,Tuolumne,SONORA,37.983662,-120.279727,,"Yes, deepened the well
",,,,,,2014-12-03T00:00:00,Resolved,Inland
75,111,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/12/2014,Tuolumne,SONORA,37.983886,-120.276558,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
76,112,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/05/2014,Tuolumne,SONORA,37.92591,-120.310724,,"Yes, drilled replacement well
",,,,,,2014-12-02T00:00:00,Resolved,Inland
77,113,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/22/2014,Tuolumne,JAMESTOWN,37.9290526,-120.4219647,,"Yes, deepened the well
",,,,,,2014-12-03T00:00:00,Resolved,Inland
78,114,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.940368,-120.416309,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
79,115,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,TUOLUMNE,37.9482509,-120.2369469,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
80,116,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,TUOLUMNE,37.9498817,-120.2315702,,"No, on drilling wait list
",,,,,,2014-12-02T00:00:00,Outage,Inland
81,117,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,TUOLUMNE,37.949808,-120.250913,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
