web-scraper-order,web-scraper-start-url,term
"1652471784-255","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","kilogram"
"1652471784-232","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","flowing well/spring"
"1652471784-314","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","secondary wastewater treatment"
"1652471784-304","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","recycled water"
"1652471784-354","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","vapor"
"1652471784-357","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","wastewater-treatment return flow"
"1652471784-205","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","bedrock"
"1652471784-359","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","water year"
"1652471784-328","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","solvent"
"1652471784-289","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","permeability"
"1652471784-265","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","milligram (mg)"
"1652471784-318","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","self-supplied water"
"1652471784-368","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","yield"
"1652471784-219","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","drawdown"
"1652471784-226","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","evapotranspiration"
"1652471784-202","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","base"
"1652471784-335","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","storm sewer"
"1652471784-210","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","consumptive use"
"1652471784-313","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","sea"
"1652471784-361","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","water table"
"1652471784-260","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","levee"
"1652471784-332","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","spring"
"1652471784-360","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","water quality"
"1652471784-271","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","NAVD"
"1652471784-201","https://www.usgs.gov/special-topics/water-science-school/science/dictionary-water-terms","base flow"
