gsp_doc_id,gsp_id,canonical_gsp_id,version,plan_section,submitted_date,from_gsp_id,gsa_ids,gsa_names,basin,out_basename,doc_rank
8901,0047,47,1,resubmitted,07/27/2022,,"137,152,116,91,288,142,140,189,208,201,159,249,389,151,99,228",City of Stockton GSA;City of Lodi GSA;Stockton East Water District GSA;City of Manteca GSA;Eastside San Joaquin GSA;County of San Joaquin GSA - Eastern San Joaquin 1;Lockeford Community Service District GSA;Central San Joaquin Water Conservation District GSA;South Delta Water Agency GSA;Central Delta Water Agency GSA;North San Joaquin Water Conservation District GSA;South San Joaquin GSA;County of San Joaquin GSA - Eastern San Joaquin 2;Woodbridge Irrigation District GSA;Linden County Water District GSA;Oakdale Irrigation District GSA,5-022.01 EASTERN SAN JOAQUIN,gsp_doc_id_8901.pdf,2
3713,0048,48,1,original,01/23/2020,,25,Alpaugh GSA,5-022.13 TULE,gsp_doc_id_3713.pdf,1
9115,0048,48,1,resubmitted,07/27/2022,,25,Alpaugh GSA,5-022.13 TULE,gsp_doc_id_9115.pdf,2
2710,0049,49,1,original,01/28/2020,,59,New Stone Water District GSA,5-022.06 MADERA,gsp_doc_id_2710.pdf,1
9617,0049,49,1,resubmitted,03/21/2023,,59,New Stone Water District GSA,5-022.06 MADERA,gsp_doc_id_9617.pdf,2
2842,0050,50,1,original,01/31/2020,,7,Mid-Kaweah GSA,5-022.11 KAWEAH,gsp_doc_id_2842.pdf,1
9093,0050,50,1,resubmitted,07/27/2022,,7,Mid-Kaweah GSA,5-022.11 KAWEAH,gsp_doc_id_9093.pdf,2
3162,0051,51,1,original,01/30/2020,,15,Buena Vista Water Storage District GSA,5-022.14 KERN COUNTY,gsp_doc_id_3162.pdf,1
9238,0051,51,1,resubmitted,08/01/2022,,15,Buena Vista Water Storage District GSA,5-022.14 KERN COUNTY,gsp_doc_id_9238.pdf,2
1683,0052,52,1,original,01/31/2020,,106,Yuba Water Agency GSA - South Yuba,5-021.61 SOUTH YUBA,gsp_doc_id_1683.pdf,1
1682,0053,53,1,original,01/31/2020,,"133,413,111",City of Marysville GSA;Yuba Water Agency GSA - North Yuba;Cordua Irrigation District GSA,5-021.60 NORTH YUBA,gsp_doc_id_1682.pdf,1
2384,0054,54,1,original,01/28/2020,,"22,20",Greenfield County Water District GSA;Kern River GSA,5-022.14 KERN COUNTY,gsp_doc_id_2384.pdf,1
9034,0054,54,1,resubmitted,07/29/2022,,"22,20",Greenfield County Water District GSA;Kern River GSA,5-022.14 KERN COUNTY,gsp_doc_id_9034.pdf,2
4306,0056,56,1,original,01/28/2020,,42,Lower Tule River Irrigation District GSA,5-022.13 TULE,gsp_doc_id_4306.pdf,1
9024,0056,56,1,resubmitted,07/27/2022,,42,Lower Tule River Irrigation District GSA,5-022.13 TULE,gsp_doc_id_9024.pdf,2
3718,0057,57,1,original,01/30/2020,,490,Tri-County Water Authority GSA - Tule,5-022.13 TULE,gsp_doc_id_3718.pdf,1
9230,0057,57,1,resubmitted,07/27/2022,,490,Tri-County Water Authority GSA - Tule,5-022.13 TULE,gsp_doc_id_9230.pdf,2
2672,0058,58,1,original,01/29/2020,,314,East Kaweah GSA,5-022.11 KAWEAH,gsp_doc_id_2672.pdf,1
9106,0058,58,1,resubmitted,07/27/2022,,314,East Kaweah GSA,5-022.11 KAWEAH,gsp_doc_id_9106.pdf,2
3301,0059,59,1,original,01/31/2020,,35,Indian Wells Valley Groundwater Authority GSA,6-054 INDIAN WELLS VALLEY,gsp_doc_id_3301.pdf,1
2840,0061,61,1,original,01/30/2020,,34,Gravelly Ford Water District GSA,5-022.06 MADERA,gsp_doc_id_2840.pdf,1
9625,0061,61,1,resubmitted,03/21/2023,,34,Gravelly Ford Water District GSA,5-022.06 MADERA,gsp_doc_id_9625.pdf,2
3715,0063,63,1,original,01/30/2020,,29,Delano-Earlimart Irrigation District GSA,5-022.13 TULE,gsp_doc_id_3715.pdf,1
9219,0063,63,1,resubmitted,07/27/2022,,29,Delano-Earlimart Irrigation District GSA,5-022.13 TULE,gsp_doc_id_9219.pdf,2
3714,0065,65,1,original,01/30/2020,,43,Pixley Irrigation District GSA,5-022.13 TULE,gsp_doc_id_3714.pdf,1
9021,0065,65,1,resubmitted,07/27/2022,,43,Pixley Irrigation District GSA,5-022.13 TULE,gsp_doc_id_9021.pdf,2
4356,0067,67,1,original,11/04/2020,,400,Castac Basin GSA,5-029 CASTAC LAKE VALLEY,gsp_doc_id_4356.pdf,1
7993,0070,70,1,original,01/31/2022,,493,County of Humboldt GSA,1-010 EEL RIVER VALLEY,gsp_doc_id_7993.pdf,1
4539,0071,71,1,original,11/17/2021,,28,West San Jacinto GSA,8-005 SAN JACINTO,gsp_doc_id_4539.pdf,1
6325,0072,72,1,original,01/26/2022,,468,Fillmore and Piru Basins GSA - Piru,4-004.06 PIRU,gsp_doc_id_6325.pdf,1
10230,0072,72,1,resubmitted,07/15/2024,,468,Fillmore and Piru Basins GSA - Piru,4-004.06 PIRU,gsp_doc_id_10230.pdf,2
6324,0073,73,1,original,01/26/2022,,339,Fillmore and Piru Basins GSA - Fillmore,4-004.05 FILLMORE,gsp_doc_id_6324.pdf,1
10248,0073,73,1,resubmitted,07/16/2024,,339,Fillmore and Piru Basins GSA - Fillmore,4-004.05 FILLMORE,gsp_doc_id_10248.pdf,2
5005,0074,74,1,original,01/03/2022,,338,Santa Margarita Groundwater Agency GSA,3-027 SANTA MARGARITA,gsp_doc_id_5005.pdf,1
7827,0075,75,1,original,01/28/2022,,370,San Pasqual Valley GSA,9-010 SAN PASQUAL VALLEY,gsp_doc_id_7827.pdf,1
7813,0076,76,1,original,01/31/2022,,359,Upper San Luis Rey Groundwater Management Authority GSA,9-007.01 UPPER SAN LUIS REY VALLEY,gsp_doc_id_7813.pdf,1
6135,0077,77,1,original,01/24/2022,,248,Upper Ventura River Groundwater Agency GSA,4-003.01 UPPER VENTURA RIVER,gsp_doc_id_6135.pdf,1
5607,0078,78,1,original,01/18/2022,,5,Santa Ynez River Valley Basin Western Management Area GSA,3-015 SANTA YNEZ RIVER VALLEY,gsp_doc_id_5607.pdf,1
5606,0079,79,1,original,01/18/2022,,11,Santa Ynez River Valley Basin Central Management Area GSA,3-015 SANTA YNEZ RIVER VALLEY,gsp_doc_id_5606.pdf,1
5975,0080,80,1,original,01/19/2022,,273,Santa Ynez River Valley Basin Eastern Management Area GSA,3-015 SANTA YNEZ RIVER VALLEY,gsp_doc_id_5975.pdf,1
7701,0081,81,1,original,01/27/2022,,260,Temescal Subbasin GSA,8-002.09 TEMESCAL,gsp_doc_id_7701.pdf,1
6110,0082,82,1,original,01/20/2022,,287,Enterprise-Anderson GSA - Enterprise,5-006.04 ENTERPRISE,gsp_doc_id_6110.pdf,1
6111,0083,83,1,original,01/20/2022,,464,Enterprise-Anderson GSA - Anderson,5-006.03 ANDERSON,gsp_doc_id_6111.pdf,1
7195,0084,84,1,original,01/28/2022,,342,Ukiah Valley Basin GSA,1-052 UKIAH VALLEY,gsp_doc_id_7195.pdf,1
8058,0085,85,1,original,01/31/2022,,"192,300",Stanislaus and Tuolumne Rivers Groundwater Basin Association GSA;County of Tuolumne GSA,5-022.02 MODESTO,gsp_doc_id_8058.pdf,1
10202,0085,85,1,resubmitted,07/12/2024,,"192,300",Stanislaus and Tuolumne Rivers Groundwater Basin Association GSA;County of Tuolumne GSA,5-022.02 MODESTO,gsp_doc_id_10202.pdf,2
6450,0086,86,1,original,01/28/2022,,"178,409",Rock Creek Reclamation District GSA;Vina GSA,5-021.57 VINA,gsp_doc_id_6450.pdf,1
8197,0087,87,1,original,01/21/2022,,290,San Antonio Basin GSA,3-014 SAN ANTONIO CREEK VALLEY,gsp_doc_id_8197.pdf,1
7652,0088,88,1,original,01/28/2022,,457,Siskiyou County Flood Control and Water Conservation District GSA - Butte Valley,1-003 BUTTE VALLEY,gsp_doc_id_7652.pdf,1
10224,0088,88,1,resubmitted,07/12/2024,,457,Siskiyou County Flood Control and Water Conservation District GSA - Butte Valley,1-003 BUTTE VALLEY,gsp_doc_id_10224.pdf,2
6317,0089,89,1,original,01/28/2022,,253,Siskiyou County Flood Control and Water Conservation District GSA - Scott River,1-005 SCOTT RIVER VALLEY,gsp_doc_id_6317.pdf,1
6461,0090,90,1,original,01/28/2022,,456,Siskiyou County Flood Control and Water Conservation District GSA - Shasta,1-004 SHASTA VALLEY,gsp_doc_id_6461.pdf,1
7188,0091,91,1,original,01/26/2022,,"104,200",East Bay Municipal Utility District GSA;City of Hayward GSA,2-009.04 EAST BAY PLAIN,gsp_doc_id_7188.pdf,1
6881,0092,92,1,original,01/28/2022,,"369,323",Glenn Groundwater Authority GSA;Colusa Groundwater Authority GSA - Colusa,5-021.52 COLUSA,gsp_doc_id_6881.pdf,1
10061,0092,92,1,resubmitted,04/22/2024,,"369,323",Glenn Groundwater Authority GSA;Colusa Groundwater Authority GSA - Colusa,5-021.52 COLUSA,gsp_doc_id_10061.pdf,2
4918,0093,93,1,original,01/12/2022,,267,Bedford-Coldwater Subbasin GSA,8-004.02 BEDFORD-COLDWATER,gsp_doc_id_4918.pdf,1
5221,0094,94,1,original,01/28/2022,,"390,418",Corning Subbasin GSA;Tehama County Flood Control and Water Conservation District GSA - Corning,5-021.51 CORNING,gsp_doc_id_5221.pdf,1
10079,0094,94,1,resubmitted,04/22/2024,,"390,418",Corning Subbasin GSA;Tehama County Flood Control and Water Conservation District GSA - Corning,5-021.51 CORNING,gsp_doc_id_10079.pdf,2
5806,0095,95,1,original,01/27/2022,,"240,232",County of Lassen GSA;County of Modoc GSA - Big Valley,5-004 BIG VALLEY,gsp_doc_id_5806.pdf,1
10050,0095,95,1,resubmitted,04/22/2024,,"240,232",County of Lassen GSA;County of Modoc GSA - Big Valley,5-004 BIG VALLEY,gsp_doc_id_10050.pdf,2
7793,0096,96,1,original,01/28/2022,,217,Yolo Subbasin GSA,5-021.67 YOLO,gsp_doc_id_7793.pdf,1
8090,0097,97,1,original,01/31/2022,,"258,256,280,236",Tulelake Irrigation District GSA;County of Siskiyou GSA;City of Tulelake GSA;County of Modoc GSA - Tulelake,1-002.01 TULELAKE,gsp_doc_id_8090.pdf,1
