link,basin,approval,gsp_local_id,gsp_num_id,mult_gsas,name_gsas
/portal/gsp/preview/78,3-015 SANTA YNEZ RIVER VALLEY,Review In Progress,Western Management Area,0078,FALSE,
/portal/gsp/preview/48,5-022.13 TULE,Incomplete,Tule Subbasin Alpaugh GSP,0048,FALSE,
/portal/gsp/preview/65,5-022.13 TULE,Incomplete,Pixley ID GSA,0065,FALSE,
/portal/gsp/preview/8,5-022.09 WESTSIDE,Incomplete,N/A,0008,FALSE,
/portal/gsp/preview/9,5-022.04 MERCED,Incomplete,N/A,0009,TRUE,
/portal/gsp/preview/11,3-001 SANTA CRUZ MID-COUNTY,Approved,N/A,0011,FALSE,
/portal/gsp/preview/12,5-022.05 CHOWCHILLA,Incomplete,N/A,0012,TRUE,
/portal/gsp/preview/16,4-004.02 OXNARD,Approved,N/A,0016,FALSE,
/portal/gsp/preview/17,4-006 PLEASANT VALLEY,Approved,N/A,0017,FALSE,
/portal/gsp/preview/18,4-008 LAS POSAS VALLEY,Approved,N/A,0018,FALSE,
/portal/gsp/preview/19,4-004.03 MOUND,Review In Progress,N/A,0019,FALSE,
/portal/gsp/preview/29,3-004.01 180/400 FOOT AQUIFER,Approved,N/A,0029,TRUE,
/portal/gsp/preview/32,3-013 CUYAMA VALLEY,Incomplete,N/A,0032,FALSE,
/portal/gsp/preview/35,3-004.06 PASO ROBLES AREA,Incomplete,N/A,0035,TRUE,
/portal/gsp/preview/42,5-022.12 TULARE LAKE,Incomplete,N/A,0042,TRUE,
