gsp_id,gsa,variable,value
0092,glenn_groundwater_authority_groundwater_sustainability_agency,ramboll,NA
0092,groundwater_sustainability_agency,ramboll,NA
0093,bedford_coldwater_subbasin_groundwater_sustainability_agency,ramboll,NA
0094,csgsa,ramboll,NA
0094,groundwater_sustainability_agency,ramboll,NA
0094,tehama_county_flood_control_and_water_conservation_district,ramboll,NA
0095,county_of_lassen_groundwater_sustainability_agency,ramboll,NA
0095,county_of_modoc_groundwater_sustainability_agency_big_valley,ramboll,NA
0095,groundwater_sustainability_agency,ramboll,NA
0096,yolo_subbasin_groundwater_sustainability_agency,ramboll,NA
0097,groundwater_sustainability_agency,ramboll,NA
0097,tulelake_irrigation_district_groundwater_sustainability_agency,ramboll,NA
0098,groundwater_sustainability_agency,ramboll,NA
0099,wyandotte_creek_groundwater_sustainability_agency,ramboll,NA
0100,county_of_sutter_groundwater_sustainability_agency_north_american,ramboll,NA
0100,groundwater_sustainability_agency,ramboll,NA
0100,reclamation_district_no_1001_groundwater_sustainability_agency,ramboll,NA
0100,sacramento_groundwater_authority,ramboll,NA
0100,sacramento_groundwater_authority_groundwater_sustainability_agency,ramboll,NA
0100,south_sutter_water_district_groundwater_sustainability_agency,ramboll,NA
0100,west_placer_groundwater_sustainability_agency,ramboll,NA
0101,sonoma_valley_groundwater_sustainability_agency,ramboll,NA
0103,owens_valley_groundwater_authority,ramboll,NA
0103,owens_valley_groundwater_authority_groundwater_sustainability_agency_owens_valley,ramboll,NA
0104,yucaipa_basin_groundwater_sustainability_agency,ramboll,NA
0105,groundwater_sustainability_agency,ramboll,NA
0105,san_benito_county_water_district_groundwater_sustainability_agency,ramboll,NA
0105,santa_clara_valley_water_district_groundwater_sustainability_agency_north_san_benito,ramboll,NA
0106,amador_county_groundwater_management_authority,ramboll,NA
0106,amador_county_groundwater_management_authority_groundwater_sustainability_agency,ramboll,NA
0106,city_of_galt_groundwater_sustainability_agency,ramboll,NA
0106,clay_water_district_groundwater_sustainability_agency,ramboll,NA
0106,galt_irrigation_district_groundwater_sustainability_agency,ramboll,NA
0106,groundwater_sustainability_agency,ramboll,NA
0106,omochumne_hartnell_water_district_groundwater_sustainability_agency_cosumnes,ramboll,NA
0106,sacramento_county_groundwater_sustainability_agency_cosumnes,ramboll,NA
0106,sloughhouse_resource_conservation_district_groundwater_sustainability_agency_cosumnes,ramboll,NA
0110,east_turlock_subbasin_groundwater_sustainability_agency,ramboll,NA
0110,groundwater_sustainability_agency,ramboll,NA
0110,west_turlock_subbasin_groundwater_sustainability_agency,ramboll,NA
0111,county_of_sacramento_groundwater_sustainability_agency_south_american,ramboll,NA
0111,groundwater_sustainability_agency,ramboll,NA
0111,omochumne_hartnell_water_district_groundwater_sustainability_agency_south_american,ramboll,NA
0111,reclamation_district_no_551_groundwater_sustainability_agency,ramboll,NA
0111,sacramento_central_groundwater_authority,ramboll,NA
0111,sacramento_central_groundwater_authority_groundwater_sustainability_agency_1,ramboll,NA
0112,butte_water_district_groundwater_sustainability_agency_sutter,ramboll,NA
0112,groundwater_sustainability_agency,ramboll,NA
0113,salinas_valley_basin_groundwater_sustainability_agency_langley_area,ramboll,NA
0113,svbgsa,ramboll,NA
0114,salinas_valley_basin_groundwater_sustainability_agency_east_side_aquifer,ramboll,NA
0115,salinas_valley_basin_groundwater_sustainability_agency_upper_valley_aquifer,ramboll,NA
0116,arroyo_seco_groundwater_sustainability_agency_1,ramboll,NA
0116,groundwater_sustainability_agency,ramboll,NA
0116,salinas_valley_basin_groundwater_sustainability_agency_forebay_aquifer,ramboll,NA
0117,city_of_vacaville_groundwater_sustainability_agency,ramboll,NA
0117,groundwater_sustainability_agency,ramboll,NA
0117,reclamation_district_no_2111_groundwater_sustainability_agency,ramboll,NA
0117,reclamation_district_no_317_groundwater_sustainability_agency,ramboll,NA
0117,reclamation_district_no_349_groundwater_sustainability_agency,ramboll,NA
0117,reclamation_district_no_3_groundwater_sustainability_agency,ramboll,NA
0117,reclamation_district_no_501_groundwater_sustainability_agency_northern_delta_groundwater_sustainability_agency,ramboll,NA
0117,reclamation_district_no_554_groundwater_sustainability_agency,ramboll,NA
0117,reclamation_district_no_556_groundwater_sustainability_agency,ramboll,NA
0117,sacramento_county_groundwater_sustainability_agency_solano,ramboll,NA
0117,solano_irrigation_district_groundwater_sustainability_agency,ramboll,NA
0117,solano_subbasin_groundwater_sustainability_agency,ramboll,NA
0118,city_of_san_luis_obispo_groundwater_sustainability_agency,ramboll,NA
0118,county_of_san_luis_obispo_groundwater_sustainability_agency_san_luis_obispo_valley,ramboll,NA
0118,groundwater_sustainability_agency,ramboll,NA
0119,elsinore_valley_groundwater_sustainability_agency,ramboll,NA
0120,byron_bethany_irrigation_district_groundwater_sustainability_agency_east_contra_costa,ramboll,NA
0120,city_of_antioch_groundwater_sustainability_agency,ramboll,NA
0120,city_of_brentwood_groundwater_sustainability_agency,ramboll,NA
0120,county_of_contra_costa_groundwater_sustainability_agency,ramboll,NA
0120,diablo_water_district_groundwater_sustainability_agency,ramboll,NA
0120,discovery_bay_community_services_district_groundwater_sustainability_agency,ramboll,NA
0120,east_contra_costa_irrigation_district_groundwater_sustainability_agency,ramboll,NA
0120,groundwater_sustainability_agency,ramboll,NA
0121,groundwater_sustainability_agency,ramboll,NA
0121,san_gorgonio_pass_groundwater_sustainability_agency,ramboll,NA
0121,verbenia_groundwater_sustainability_agency,ramboll,NA
0122,banta_carbona_irrigation_district_groundwater_sustainability_agency,ramboll,NA
0122,byron_bethany_irrigation_district_groundwater_sustainability_agency_tracy,ramboll,NA
0122,city_of_lathrop_groundwater_sustainability_agency,ramboll,NA
0122,city_of_tracy_groundwater_sustainability_agency,ramboll,NA
0122,county_of_san_joaquin_groundwater_sustainability_agency_tracy,ramboll,NA
0122,groundwater_sustainability_agency,ramboll,NA
0122,stewart_tract_groundwater_sustainability_agency,ramboll,NA
0123,white_wolf_groundwater_sustainability_agency,ramboll,NA
0124,county_of_napa_groundwater_sustainability_agency,ramboll,NA
0125,county_of_plumas_groundwater_sustainability_agency,ramboll,NA
0125,groundwater_sustainability_agency,ramboll,NA
0125,sierra_valley_groundwater_management_district,ramboll,NA
0125,sierra_valley_groundwater_management_district_groundwater_sustainability_agency,ramboll,NA
0127,big_valley_groundwater_sustainability_agency,ramboll,NA
0128,groundwater_sustainability_agency,ramboll,NA
0128,marina_coast_water_district_groundwater_sustainability_agency_monterey,ramboll,NA
0128,salinas_valley_basin_groundwater_sustainability_agency_monterey,ramboll,NA
0129,santa_monica_basin_groundwater_sustainability_agency,ramboll,NA
0130,ojai_basin_groundwater_management_agency,ramboll,NA
0130,ojai_basin_groundwater_management_agency_gsa,ramboll,NA
0131,santa_clarita_valley_groundwater_sustainability_agency,ramboll,NA
0132,petaluma_valley_groundwater_sustainability_agency,ramboll,NA
0133,atascadero_basin_groundwater_sustainability_agency,ramboll,NA
0134,tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_antelope,ramboll,NA
0136,santa_rosa_plain_groundwater_sustainability_agency,ramboll,NA
0137,tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_bowman,ramboll,NA
0138,bear_valley_basin_groundwater_sustainability_agency,ramboll,NA
0139,tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_los_molinos,ramboll,NA
0140,tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_red_bluff,ramboll,NA
0144,western_municipal_water_district_groundwater_sustainability_agency_riverside_arlington,ramboll,NA
0145,city_of_coalinga_groundwater_sustainability_agency,ramboll,NA
0145,pleasant_valley_groundwater_sustainability_agency,ramboll,NA
0149,spadra_basin_groundwater_sustainability_agency,ramboll,NA
0150,arvin_groundwater_sustainability_agency,ramboll,NA
0150,groundwater_sustainability_agency,ramboll,NA
0150,tejon_castac_water_district_groundwater_sustainability_agency,ramboll,NA
