name,num_appearances_sum,num_appearances_mean,num_types,entity_type
project,313,13,1,Water_Project
solano_county,313,104,1,County
alpaugh_groundwater_sustainability_agency,311,311,1,Local_GSA
arroyo_simi,310,155,1,NA
integrated_regional_water_management,310,17,1,Local_Gov
merced,310,24,1,County
siskiyou_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_shasta,310,310,1,Local_GSA
tehama_integrated_hydrologic_model,307,77,1,Technical
groundwater_sustainability_agency_board,304,11,1,Group
svsim,303,38,1,NA
sacramento_valley,302,12,1,Geographic_Unit
porterville,300,43,1,City
tulare_formation,300,12,1,Natural_Feature
ag,297,13,1,NA
monitoring_and_reporting_program,297,30,1,Technical
environmental_defense_fund,296,49,1,NA
santa_ynez,295,59,1,City
pleasant_valley,294,42,1,Geographic_Unit
esri,289,21,1,NA
colusa,285,48,1,County
san_joaquin_river_restoration_program,285,12,1,Local_Gov
petaluma_valley_groundwater_sustainability_agency,281,140,2,Local_GSA
chowchilla_subbasin,280,93,1,Basin
integrated_regional_water_management_plan,280,8,1,Local_Gov
sampling_and_analysis_plan,280,35,1,Technical
dtw,279,15,1,NA
groundwater_management_plan,279,7,1,Technical
saugus_formation,279,46,1,Natural_Feature
flow,278,35,1,NA
yucaipa_groundwater_sustainability_agency,278,278,1,Other_GSA
groundwater_sustainability_plan_regulations,276,7,1,Legal
interferometric_synthetic_aperture_radar,274,7,1,NA
hcm,273,14,1,NA
ma,272,23,1,NA
rmw,269,38,1,NA
technical_memoranda,269,19,1,Technical
managed_aquifer_recharge,267,24,1,NA
turlock_subbasin,267,67,1,Basin
vcwpd,267,89,1,NA
anderson_subbasin,265,88,1,Basin
page,265,12,1,Reference
groundwater_sustainability_plans,264,5,1,Technical
representative_monitoring_point,264,66,1,Technical
stakeholder_committee,264,38,1,Group
cga,263,132,1,NA
arroyo_las_posas,262,52,1,NA
kings_river_conservation_district,262,29,1,District
los_angeles_county,262,26,1,County
city_of_porterville,261,52,1,City
san_antonio_basin_groundwater_sustainability_agency,261,261,1,Local_GSA
santa_clarita_valley_groundwater_sustainability_agency,261,261,1,Local_GSA
santa_ynez_river_valley_basin_western_management_area_groundwater_sustainability_agency,259,259,1,Local_GSA
yucaipa_valley_water_district,259,259,1,District
tcwa,256,128,1,NA
castac_basin_gsa,255,255,1,Local_GSA
los_angeles,254,18,1,County
natural_resources_conservation_service,254,8,1,Federal_Gov
montecito_groundwater_sustainability_agency,253,253,1,Other_GSA
groundwater_sustainability_plan_groups,252,42,1,Group
james_irrigation_district,251,126,1,District
tule_subbasin_technical_advisory_committee,251,42,1,Group
kern_county_water_agency,249,25,1,Group
working_group,249,23,1,Group
smc,248,21,1,NA
santa_ynez_river_valley_basin_central_management_area_groundwater_sustainability_agency,247,247,1,Local_GSA
army_corps_of_engineers,246,9,1,Federal_Gov
regional_model,246,123,1,Technical
buena_vista_water_storage_district_gsa,245,245,1,Local_GSA
sacramento_county,245,27,1,County
watershed,245,49,1,NA
arroyo,244,27,1,NA
napa_valley_subbasin,242,242,1,Basin
district,241,10,1,District
modesto,241,24,1,City
minimum_thresholds,238,34,1,NA
santa_ynez_river_water_conservation_district,238,79,1,District
butte_valley,236,118,1,City
corcoran_clay,236,10,1,Natural_Feature
sutter_subbasin,235,78,1,Basin
monterey,234,23,1,County
data_quality_objective,232,9,1,Technical
temescal_subbasin_groundwater_sustainability_agency,231,231,1,Local_GSA
merced_county,230,19,1,County
san_antonio,230,19,1,NA
national_aeronautics_and_space_administration,229,8,1,Federal_Gov
olcese_groundwater_sustainability_agency_area,228,228,1,Geographic_Unit
technical_working_group,227,38,1,Group
fcgma,226,113,1,NA
cosumnes,224,56,1,NA
vacaville,224,32,1,City
los_angeles_department_of_water_and_power,223,56,1,NA
merced_subbasin,222,56,1,Basin
discharger,220,28,1,NA
kern_subbasin,220,22,1,Basin
indian_wells_valley_groundwater_basin,219,219,1,Basin
san_jacinto,218,54,1,City
santa_cruz,217,31,1,County
unavco,217,7,1,NA
natural_communities,216,8,1,NA
spadra_basin_groundwater_sustainability_agency,216,216,1,Local_GSA
gps,215,6,1,NA
napa,214,54,1,County
san_antonio_creek,214,43,1,Natural_Feature
pce,211,14,1,NA
temescal_wash,211,70,1,NA
fresno_slough,209,19,1,Natural_Feature
kaweah,209,30,1,NA
california_water_code,207,5,1,State_Gov
salinas_valley_basin_groundwater_sustainability_agency_east_side_aquifer,207,207,1,Local_GSA
salinas_valley_basin_groundwater_sustainability_agency_langley_area,206,206,1,Local_GSA
san_lorenzo_valley_water_district,206,206,1,District
geotracker,205,6,1,NA
hayward,205,205,1,City
eel_river_valley_basin,203,203,1,Basin
grimes_canyon_aquifer,203,68,1,Natural_Feature
lompico,202,101,1,City
tehama,202,18,1,County
city_of_santa_monica,201,201,1,City
statewide_groundwater_elevation_monitoring,201,5,1,State_Gov
salinas_valley_basin_groundwater_sustainability_agency_upper_valley_aquifer,199,199,1,Local_GSA
enterprise,198,99,1,NA
los_banos,198,28,1,City
wrmwsd,198,198,1,NA
salt_and_nutrient_management_plan,195,16,1,Technical
friant_division,194,11,1,NA
piru_creek,194,32,1,Natural_Feature
basin_numerical_model,193,193,1,Technical
monterey_formation,193,15,1,Natural_Feature
calleguas_creek,192,32,1,Natural_Feature
technical_peer_review,192,192,1,Technical
friant_kern_canal,191,13,1,NA
mcsim,191,96,1,NA
san_benito_county,191,27,1,County
hydrographs,190,4,1,NA
san_jacinto_groundwater_basin,190,190,1,Basin
santa_ana,190,19,1,City
water_in_the_yucaipa,190,190,1,NA
corning,189,24,1,City
napa_valley,189,189,1,Geographic_Unit
paso_robles,189,24,1,NA
acsd,188,188,1,NA
atascadero,188,94,1,City
butte_county,188,19,1,County
solano,188,94,1,County
geographic_information_system,187,7,1,Technical
yuba_water_agency,185,62,2,Local_GSA
