"name","num_appearances","num_gsps","mean_degree"
"sunshine_ranch",29,1,2
"water_resources_manager",29,3,3
"wwd",29,1,4
"a_makes_the_same_assumptions_and_has_the_same_organizational_structure_as_the_projected_water_budget_in_the_greater_forebay",28,1,7
"area_under_future",28,1,7
"bolsa_ma",28,1,4
"central_sacramento_county_groundwater_forum",28,1,5
"connected_linear_network",28,2,1
"devecchio_et_al",28,2,7
"dunnigan_hills",28,2,2
"leapfrog",28,3,5
"linear_fit",28,6,1
"los_angeles_county_department_of_public_works",28,2,3
"lower_pressure",28,1,4
"rancho_guejito",28,1,3
"rec",28,6,1
"regional_offices",28,4,1
"riverstone",28,1,3
"sac",28,1,8
"salinas_valley_aquitard",28,5,3
"san_jerardo_cooperative",28,1,8
"tac",28,2,6
"this_best_management_practice",28,15,1
"tuff",28,1,4
"west_fork",28,1,3
"acre_foot",27,1,5
"bound_party",27,1,2
"burton_mesa",27,2,1
"daniel_b_stephens_associates",27,7,4
"garrett",27,1,10
"gmp",27,4,2
"gutierrez",27,1,1
"gw_sw",27,6,2
"hernandez",27,1,2
"hydrometrics",27,3,5
"ipr",27,1,5
"isherwood",27,3,2
"itrc",27,9,2
"mtbe",27,3,3
"pillsbury",27,3,2
"plate_boundary_observatory",27,14,1
"purisima_a",27,1,6
"san",27,7,1
"shasta_non_critical",27,1,3
"sscwd",27,1,8
"stantec",27,7,1
"thomes",27,5,2
"towill",27,2,2
"tu",27,1,4
"ug_l_nd",27,1,3
"ventura_county_watershed",27,5,1
"water_quality",27,10,1
"agr",26,3,1
"beneficial_uses_and_users_of_groundwater",26,8,1
"clay_cap",26,3,1
"deid",26,2,6
"ewrims",26,6,1
"gsa_core_team",26,1,9
"keith_helmuth",26,1,11
"natomas_cross_canal",26,1,6
"piru_fillmore",26,2,4
"pomo_indians",26,1,2
"recharge_package",26,4,1
"reduction_of_groundwater_storage",26,4,2
"sandra_carlson",26,1,5
"soma",26,5,2
"south_east_bay_plain",26,1,4
"swp",26,3,2
"tejon_ranch_company",26,1,5
"town_of_yountville",26,1,6
"watersheds_coalition",26,6,2
"wheeler",26,1,5
"wq",26,7,2
"andrew_garcia",25,5,2
"boards_of_directors",25,12,1
"cabazon_storage_units",25,1,1
"csd",25,3,2
"del_valle",25,2,3
"exchange_contractors",25,1,3
"franciscan_complex",25,6,1
"groundwater_dependent_ecosystem_evaluation_unit",25,1,15
"gwts",25,1,3
"insects",25,1,7
"kettleman_hills",25,2,2
"kings_counties",25,4,2
"meti",25,7,2
"mw16",25,1,3
"naval_air_station_lemoore",25,1,5
"oak_ridge",25,5,3
"santa_barbara_canyon_fault",25,1,3
"trading_program",25,2,2
"tvgmd",25,1,1
"upper_and_lower",25,3,2
