GSP_ID,NAME20,GEOID20,Basin_Subb
91,albany,600674,2-009.04
91,berkeley,606000,2-009.04
91,emeryville,622594,2-009.04
91,san_leandro,668084,2-009.04
91,union_city,681204,2-009.04
91,hayward,633000,2-009.04
91,piedmont,656938,2-009.04
91,el_cerrito,621796,2-009.04
91,ashland,602980,2-009.04
91,cherryland,612902,2-009.04
91,east_richmond_heights,621061,2-009.04
91,el_sobrante,622454,2-009.04
91,kensington,638086,2-009.04
91,north_richmond,652162,2-009.04
91,rollingwood,662700,2-009.04
91,san_lorenzo,668112,2-009.04
92,williams,685586,5-021.52
92,colusa,614946,5-021.52
92,orland,654274,5-021.52
92,willows,685684,5-021.52
92,arbuckle,602420,5-021.52
92,artois,602910,5-021.52
92,college_city,614554,5-021.52
92,grimes,631288,5-021.52
92,maxwell,646338,5-021.52
92,princeton,658758,5-021.52
93,corona,616350,8-004.02
93,el_cerrito,621810,8-004.02
93,temescal_valley,678138,8-004.02
94,corning,616322,5-021.51
94,flournoy,624568,5-021.51
94,hamilton_city,631890,5-021.51
94,richfield,660592,5-021.51
95,adin,600310,5-004
95,bieber,606336,5-004
95,lookout,643126,5-004
95,nubieber,652610,5-004
96,davis,618100,5-021.67
96,west_sacramento,684816,5-021.67
96,winters,686034,5-021.67
96,woodland,686328,5-021.67
96,sacramento,664000,5-021.67
96,brooks,608506,5-021.67
96,clarksburg,613784,5-021.67
96,dunnigan,620228,5-021.67
96,el_macero,622104,5-021.67
96,esparto,622846,5-021.67
96,guinda,631540,5-021.67
96,knights_landing,638800,5-021.67
96,madison,645064,5-021.67
96,monument_hills,649045,5-021.67
96,rumsey,663302,5-021.67
96,tancred,677860,5-021.67
96,university_of_california-davis,681302,5-021.67
96,yolo,686804,5-021.67
97,tulelake,680686,1-002.01
97,newell,651042,1-002.01
98,biggs,606560,5-021.70
98,gridley,631260,5-021.70
98,chico,613014,5-021.70
98,oroville,654386,5-021.70
98,durham,620270,5-021.70
98,richvale,660662,5-021.70
98,thermalito,678470,5-021.70
99,oroville,654386,5-021.69
99,honcut,634428,5-021.69
99,oroville_east,654388,5-021.69
99,palermo,655086,5-021.69
99,south_oroville,673178,5-021.69
99,thermalito,678470,5-021.69
100,west_sacramento,684816,5-021.64
100,folsom,624638,5-021.64
100,rancho_cordova,659444,5-021.64
100,citrus_heights,613588,5-021.64
100,sacramento,664000,5-021.64
100,lincoln,641474,5-021.64
100,wheatland,685012,5-021.64
100,rocklin,662364,5-021.64
100,roseville,662938,5-021.64
100,antelope,602210,5-021.64
100,arden-arcade,602553,5-021.64
100,carmichael,611390,5-021.64
100,east_nicolaus,620900,5-021.64
100,elverta,622524,5-021.64
100,fair_oaks,623294,5-021.64
100,foothill_farms,624722,5-021.64
100,gold_river,630345,5-021.64
100,granite_bay,630693,5-021.64
100,la_riviera,640410,5-021.64
100,mcclellan_park,644760,5-021.64
100,nicolaus,651336,5-021.64
100,north_highlands,651924,5-021.64
100,orangevale,654092,5-021.64
100,plumas_lake,657829,5-021.64
100,rio_linda,660942,5-021.64
100,rio_oso,660970,5-021.64
100,sheridan,671414,5-021.64
100,trowbridge,680560,5-021.64
101,sonoma,672646,2-002.02
101,boyes_hot_springs,607848,2-002.02
101,eldridge,621894,2-002.02
101,el_verano,622510,2-002.02
101,fetters_hot_springs-agua_caliente,623973,2-002.02
101,glen_ellen,630028,2-002.02
101,kenwood,638156,2-002.02
101,temelec,678126,2-002.02
103,bishop,606798,6-012.01
103,benton,605346,6-012.01
103,big_pine,606616,6-012.01
103,cartago,611600,6-012.01
103,chalfant,612594,6-012.01
103,dixon_lane-meadowcreek,619406,6-012.01
103,independence,636350,6-012.01
103,keeler,637918,6-012.01
103,lone_pine,642580,6-012.01
103,mesa,647013,6-012.01
103,olancha,653490,6-012.01
103,paradise,655528,6-012.01
103,round_valley,663148,6-012.01
103,swall_meadows,677430,6-012.01
103,west_bishop,684120,6-012.01
103,wilkerson,685551,6-012.01
104,yucaipa,687042,8-002.07
104,redlands,659962,8-002.07
104,calimesa,609864,8-002.07
104,cherry_valley,612916,8-002.07
104,oak_glen,652715,8-002.07
105,hollister,634120,3-003.05
105,san_juan_bautista,668014,3-003.05
105,ridgemark,660706,3-003.05
105,tres_pinos,680364,3-003.05
106,galt,628112,5-022.16
106,ione,636672,5-022.16
106,buena_vista,608828,5-022.16
106,camanche_north_shore,610042,5-022.16
106,camanche_village,610044,5-022.16
106,clay,613854,5-022.16
106,herald,633294,5-022.16
106,rancho_murieta,659506,5-022.16
106,thornton,678568,5-022.16
106,wallace,683304,5-022.16
106,wilton,685880,5-022.16
110,ceres,612524,5-022.03
110,hughson,634904,5-022.03
110,livingston,642006,5-022.03
110,turlock,680812,5-022.03
110,waterford,683612,5-022.03
110,modesto,648354,5-022.03
110,ballico,603708,5-022.03
110,bret_harte,608172,5-022.03
110,bystrom,609353,5-022.03
110,cowan,616762,5-022.03
110,cressey,617078,5-022.03
110,delhi,618464,5-022.03
110,denair,618856,5-022.03
110,hickman,633504,5-022.03
110,hilmar-irwin,633861,5-022.03
110,keyes,638422,5-022.03
110,la_grange,639164,5-022.03
110,monterey_park_tract,648916,5-022.03
110,parklawn,655728,5-022.03
110,riverdale_park,661106,5-022.03
110,snelling,672408,5-022.03
