NAME20,GEOID20,Basin_Subb,lat,lng,DAC,MHI,POP,incorporated,per_latino,exists,GSP_ID
reedley,660242,5-022.08,36.5987728310579,-119.447054470593,1,45850,25710,1,79.3,1,23
sanger,667056,5-022.08,36.6989739126683,-119.557498530351,1,52349,26744,1,80.5,0,23
centerville,612412,5-022.08,36.7361217410889,-119.4960156751,0,85469,314,0,31.2,0,23
cutler,617708,5-022.08,36.5246692629002,-119.288841683757,1,49098,5296,0,99,1,23
delft_colony,618450,5-022.08,36.5138145078279,-119.446534630006,1,NA,1512,0,90.3,1,23
east_orosi,620942,5-022.08,36.5480739069552,-119.2598651624,1,33472,624,0,99,1,23
el_monte_mobile_village,622235,5-022.08,36.5470800773537,-119.425061821934,1,NA,0,0,NA,0,23
london,642566,5-022.08,36.4804848879802,-119.444953013801,1,31100,1534,0,89.4,1,23
minkler,647822,5-022.08,36.7276308641489,-119.458858874014,0,68026,968,0,2.1,0,23
monson,648676,5-022.08,36.4924251724368,-119.336133262839,1,51136,210,0,100,0,23
orosi,654372,5-022.08,36.5432762748195,-119.29143128184499,1,43221,8908,0,85.6,1,23
seville,671078,5-022.08,36.4835383424976,-119.225880379869,1,40000,449,0,99.1,1,23
squaw_valley,673794,5-022.08,36.6997905875551,-119.19937122128,0,68333,3511,0,10.1,0,23
sultana,675672,5-022.08,36.5455158834589,-119.337748481919,1,26927,1336,0,83.8,1,23
traver,680280,5-022.08,36.4541165080751,-119.483742184832,1,46406,702,0,88,1,23
yettem,686734,5-022.08,36.4856891975735,-119.25570184254,1,38966,487,0,97.9,1,23
kerman,638226,5-022.08,36.7248624904021,-120.062441590358,1,61599,14920,1,81.7,1,24
clovis,614218,5-022.08,36.8278305389562,-119.683043827395,0,84119,112663,1,32.7,1,24
fresno,627000,5-022.08,36.7830265926428,-119.793854519767,1,53368,526147,1,49.7,1,24
sanger,667056,5-022.08,36.6989739126683,-119.557498530351,1,52349,26744,1,80.5,0,24
biola,606728,5-022.08,36.7999430917409,-120.021050166199,1,54375,1440,0,82.7,1,24
bowles,607750,5-022.08,36.6088789468117,-119.752576585833,1,NA,287,0,57.5,0,24
calwa,610032,5-022.08,36.7135748774443,-119.760766226718,1,45458,2363,0,89.8,0,24
centerville,612412,5-022.08,36.7361217410889,-119.4960156751,0,85469,314,0,31.2,1,24
easton,620928,5-022.08,36.6523958620109,-119.790798689684,0,75259,2224,0,68.6,1,24
fort_washington,625300,5-022.08,36.8793028647475,-119.761268655448,1,NA,215,0,0,1,24
friant,627014,5-022.08,36.9847393902371,-119.712953803612,1,52955,541,0,32.9,1,24
malaga,645232,5-022.08,36.6816070053779,-119.73179834781,1,42792,1168,0,91.4,1,24
mayfair,646400,5-022.08,36.7693506447823,-119.76127472944,1,35000,4878,0,57.3,1,24
old_fig_garden,653505,5-022.08,36.7988498483389,-119.805140665218,0,87578,5613,0,41.5,0,24
sunnyside,675994,5-022.08,36.7294240454393,-119.694517650448,0,96271,4557,0,43.5,1,24
tarpey_village,677960,5-022.08,36.7940504540758,-119.701210198406,1,54750,4222,0,28,1,24
west_park,684680,5-022.08,36.705532488432,-119.851561419646,0,65625,1025,0,87.2,1,24
lanare,640116,5-022.08,36.4377281798711,-119.932211491181,1,NA,241,0,95.9,1,25
laton,640746,5-022.08,36.4314148940926,-119.697608043494,1,48598,1967,0,77.5,1,25
riverdale,661096,5-022.08,36.4304072416594,-119.867192154517,1,34883,2727,0,69.1,1,25
fowler,625436,5-022.08,36.6243826843464,-119.673757491902,1,59663,6366,1,65.2,1,26
kingsburg,638562,5-022.08,36.5244572945441,-119.560217630901,0,73281,12116,1,47.7,1,26
parlier,655856,5-022.08,36.6086976247297,-119.543378795976,1,37434,15645,1,97.7,1,26
sanger,667056,5-022.08,36.6989739126683,-119.557498530351,1,52349,26744,1,80.5,0,26
selma,670882,5-022.08,36.5715545546459,-119.614282054764,1,42059,24405,1,85,1,26
del_rey,618674,5-022.08,36.6564691428962,-119.598147398277,1,29766,1246,0,95.9,1,26
fresno,627000,5-022.08,36.7830265926428,-119.793854519767,1,53368,526147,1,49.7,1,28
raisin_city,659290,5-022.08,36.6032673740145,-119.909170978774,1,39444,377,0,70.6,1,28
gonzales,630392,3-004.01,36.5055504442516,-121.442767205752,0,69136,8348,1,92.2,1,29
marina,645778,3-004.01,36.6835280654275,-121.791663076874,0,73115,21966,1,28.2,0,29
salinas,664224,3-004.01,36.6882927895698,-121.631684522537,0,67914,156177,1,79.2,1,29
boronda,607578,3-004.01,36.6946375997321,-121.674524453331,1,46516,1740,0,78.9,1,29
castroville,611978,3-004.01,36.7648432561457,-121.753387469327,0,66839,6332,0,87.2,1,29
chualar,613364,3-004.01,36.5711178645506,-121.510308241535,1,52031,1413,0,98.4,1,29
elkhorn,622034,3-004.01,36.8102936419184,-121.72113794275,0,96250,998,0,30.6,1,29
moss_landing,649488,3-004.01,36.8015290911439,-121.78722873146,1,NA,31,0,38.7,1,29
prunedale,658870,3-004.01,36.8063558663184,-121.655523727634,0,94179,20560,0,52.2,0,29
spreckels,673612,3-004.01,36.624720483043,-121.646499912659,1,NA,373,0,31.4,1,29
woodlake,686300,5-022.11,36.412235468865,-119.100093872137,1,44483,7708,1,90.4,1,30
exeter,623126,5-022.11,36.2940779195501,-119.145965743963,1,48605,10433,1,47.1,1,30
farmersville,623616,5-022.11,36.3050061990017,-119.208316137003,1,44286,10842,1,88.7,1,30
visalia,682954,5-022.11,36.3276585926983,-119.326915026607,0,66668,133100,1,51.9,1,30
tulare,680644,5-022.11,36.1996076732517,-119.339992872794,1,56024,64546,1,63.6,1,30
hanford,631960,5-022.11,36.3274295239525,-119.654899556497,0,65974,57339,1,49.4,1,30
east_tulare_villa,621210,5-022.11,36.2037678706375,-119.280347683706,0,65667,849,0,71.5,1,30
goshen,630476,5-022.11,36.3492709988225,-119.420634144662,1,59750,5387,0,75.7,1,30
hypericum,636135,5-022.11,36.256172509147,-119.216945351904,1,NA,160,0,95.6,0,30
ivanhoe,636910,5-022.11,36.383444321189,-119.22010051404,1,39484,4584,0,89.2,1,30
lemon_cove,641110,5-022.11,36.3808856406201,-119.028471225997,1,56250,263,0,5.3,0,30
lindcove,641656,5-022.11,36.3580316962258,-119.06459620149,1,NA,73,0,90.4,0,30
linnell_camp,641740,5-022.11,36.3088924800818,-119.222595743096,1,22432,837,0,100,1,30
matheny,646223,5-022.11,36.1706507123777,-119.351620778343,1,42039,1036,0,85.3,0,30
patterson_tract,656120,5-022.11,36.3795264297955,-119.295616649913,1,51250,2003,0,83.7,1,30
west_goshen,684345,5-022.11,36.3491876119055,-119.4573870112,1,28378,674,0,83.7,1,30
