GSA_ID,GSA_Name
68,county_of_madera_groundwater_sustainability_agency_chowchilla
403,owens_valley_groundwater_authority_groundwater_sustainability_agency_owens_valley
494,mono_county_tri_valley_groundwater_management_district_groundwater_sustainability_agency_owe
507,shafter_wasco_irrigation_district_groundwater_sustainability_agency
472,owens_valley_groundwater_authority_groundwater_sustainability_agency_fish_slough
511,mono_county_tri_valley_groundwater_management_district_groundwater_sustainability_agency_fis
29,delano_earlimart_irrigation_district_groundwater_sustainability_agency
20,kern_river_groundwater_sustainability_agency
481,arvin_groundwater_sustainability_agency
484,wheeler_ridge_maricopa_groundwater_sustainability_agency
482,tejon_castac_water_district_groundwater_sustainability_agency
7,mid_kaweah_groundwater_sustainability_agency
281,greater_kaweah_groundwater_sustainability_agency
515,rosedale_rio_bravo_water_storage_district_groundwater_sustainability_agency
106,yuba_water_agency_groundwater_sustainability_agency_south_yuba
384,reclamation_district_no_501_groundwater_sustainability_agency
514,southern_san_joaquin_municipal_utility_district
322,county_of_san_luis_obispo_groundwater_sustainability_agency_paso_robles_area
5,santa_ynez_river_valley_basin_western_management_area_groundwater_sustainability_agency
517,kern_tulare_water_district_groundwater_sustainability_agency
518,kern_tulare_water_district_groundwater_sustainability_agency
11,santa_ynez_river_valley_basin_central_management_area_groundwater_sustainability_agency
396,estrella_el_pomar_creston_water_district
61,chowchilla_water_district_groundwater_sustainability_agency
306,kern_groundwater_authority_groundwater_sustainability_agency
272,city_of_vacaville_groundwater_sustainability_agency
329,city_of_san_luis_obispo_groundwater_sustainability_agency
286,byron_bethany_irrigation_district_groundwater_sustainability_agency_tracy
354,mound_basin_groundwater_sustainability_agency
504,county_of_mono_groundwater_sustainability_agency_long_valley
366,reclamation_district_no_551_groundwater_sustainability_agency
359,pauma_valley_groundwater_sustainability_agency
180,solano_irrigation_district_groundwater_sustainability_agency
373,reclamation_district_no_1002_groundwater_sustainability_agency
377,reclamation_district_no_813_groundwater_sustainability_agency
376,reclamation_district_no_744_groundwater_sustainability_agency
378,reclamation_district_no_369_groundwater_sustainability_agency
