,num_triples,num_entities,num_relations,relation_entropy,most_common_relation_ratio,avg_degree,num_components,clustering_coeff
44,4.0,3.0,4.0,2.0,0.25,2.0,1.0,0.0
45,4.0,6.0,4.0,2.0,0.25,1.3333333333333333,3.0,0.0
47,7.0,8.0,6.0,2.521640636343318,0.2857142857142857,1.75,3.0,0.0
48,3.0,4.0,3.0,1.584962500721156,0.3333333333333333,1.5,1.0,0.0
49,2.0,4.0,2.0,1.0,0.5,1.0,2.0,0.0
50,17.0,21.0,9.0,2.910992253015045,0.23529411764705882,1.5238095238095237,6.0,0.0
51,39.0,35.0,23.0,4.169766962341045,0.20512820512820512,2.057142857142857,5.0,0.010977118119975263
52,48.0,33.0,20.0,3.6437693363517045,0.2916666666666667,2.242424242424242,3.0,0.06488601429312892
53,48.0,33.0,20.0,3.6437693363517045,0.2916666666666667,2.242424242424242,3.0,0.06488601429312892
54,204.0,89.0,67.0,5.450122158299232,0.08823529411764706,3.2134831460674156,7.0,0.13616107943887873
56,20.0,18.0,11.0,3.2037016960573483,0.25,2.111111111111111,4.0,0.14074074074074072
57,6.0,10.0,4.0,1.9182958340544896,0.3333333333333333,1.2,4.0,0.0
58,28.0,27.0,17.0,3.9677201004744993,0.10714285714285714,1.8518518518518519,4.0,0.0
59,21.0,22.0,14.0,3.6897037321995474,0.14285714285714285,1.9090909090909092,4.0,0.0
61,10.0,7.0,8.0,2.8464393446710154,0.3,2.0,2.0,0.0
63,11.0,9.0,7.0,2.550340709546388,0.36363636363636365,1.5555555555555556,2.0,0.0
65,13.0,15.0,8.0,2.8150724101159437,0.23076923076923078,1.7333333333333334,4.0,0.0
67,17.0,16.0,13.0,3.528064311584049,0.17647058823529413,1.75,5.0,0.0
70,3.0,3.0,3.0,1.584962500721156,0.3333333333333333,1.3333333333333333,1.0,0.0
71,14.0,12.0,7.0,2.521640636343318,0.2857142857142857,2.0,2.0,0.19444444444444445
72,17.0,10.0,14.0,3.6901165175936645,0.17647058823529413,2.6,1.0,0.42000000000000004
73,15.0,12.0,11.0,3.323231428797621,0.2,2.3333333333333335,2.0,0.3055555555555555
74,35.0,28.0,21.0,3.949734087940844,0.2571428571428571,2.142857142857143,3.0,0.11746031746031746
75,51.0,49.0,23.0,4.218720136335856,0.11764705882352941,1.836734693877551,8.0,0.02380952380952381
76,2.0,3.0,2.0,1.0,0.5,1.3333333333333333,1.0,0.0
77,9.0,8.0,4.0,1.4466166676282082,0.6666666666666666,2.25,1.0,0.0
78,62.0,49.0,23.0,3.4245848183097376,0.3709677419354839,2.204081632653061,7.0,0.08376135143052436
79,65.0,49.0,21.0,3.9677697357725363,0.13846153846153847,2.5714285714285716,3.0,0.042714428428714146
80,56.0,42.0,30.0,4.619331261111518,0.10714285714285714,2.238095238095238,9.0,0.0813869992441421
81,34.0,26.0,15.0,3.5569010760354054,0.17647058823529413,2.4615384615384617,5.0,0.10769230769230768
82,47.0,37.0,17.0,3.0074157434976936,0.46808510638297873,2.4324324324324325,6.0,0.3113022113022113
83,71.0,55.0,20.0,3.406543750386017,0.352112676056338,2.3636363636363638,5.0,0.19419913419913418
84,23.0,22.0,12.0,3.290321609248305,0.21739130434782608,1.9090909090909092,3.0,0.0
