pattern,entity_type,match,notes
hodges_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
hollister_conduit,Non_institutional,exact,gaz:water_infrastructure_dictionary
honker_bay,Non_institutional,exact,gaz:water_bodies_dictionary
hoopa_valley_indian_tribe,Institutional_other,exact,gaz:water_entity_dictionary
hoopa_valley_tribe,Institutional_other,exact,gaz:water_entity_dictionary
hoover_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
hud,Institutional_other,exact,gaz:water_entity_dictionary
humboldt_bay,Non_institutional,exact,gaz:water_bodies_dictionary
humboldt_bay_municipal_water_district,Institutional_other,exact,gaz:water_entity_dictionary
hyatt_powerplant,Non_institutional,exact,gaz:water_infrastructure_dictionary
hyatt_pumping_generating_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
hyperion_treatment_plant,Non_institutional,exact,gaz:water_infrastructure_dictionary
ibank,Institutional_other,exact,gaz:water_entity_dictionary
ieua,Institutional_other,exact,gaz:water_entity_dictionary
iid,Institutional_other,exact,gaz:water_entity_dictionary
imperial_irrigation_district,GSA,exact,gaz:water_gsa_dictionary
imperial_irrigation_district_gsa,GSA,exact,gaz:water_gsa_dictionary
imperial_irrigation_district_gsa_amos_valley,GSA,exact,gaz:water_gsa_dictionary
imperial_irrigation_district_gsa_coyote_wells_valley,GSA,exact,gaz:water_gsa_dictionary
imperial_irrigation_district_gsa_east_salton_sea,GSA,exact,gaz:water_gsa_dictionary
imperial_irrigation_district_gsa_imperial_valley,GSA,exact,gaz:water_gsa_dictionary
imperial_irrigation_district_gsa_ocotillo_clark_valley,GSA,exact,gaz:water_gsa_dictionary
imperial_irrigation_district_gsa_ocotillo_wells,GSA,exact,gaz:water_gsa_dictionary
imperial_irrigation_district_gsa_ogilby_valley,GSA,exact,gaz:water_gsa_dictionary
imperial_irrigation_district_gsa_west_salton_sea,GSA,exact,gaz:water_gsa_dictionary
indian_valley_dam,Non_institutional,exact,gaz:water_infrastructure_dictionary
indian_valley_reservoir,Non_institutional,exact,gaz:water_infrastructure_dictionary
